Species,Specie_Name
sturnus uni/vulg,Sturnus
sturnus unicolor,Sturnus unicolor
sylvia atricapilla,Sylvia
sylvia melanocephala,Sylvia
sylvidae,Sylvia
sylvidae?,Bird
sylviidae,Sylvia
tachybaptus ruficollis,Tachybaptus ruficollis
tringa glareola,Tringa glareola
tringa nebularia,Tringa nebularia
tringa ochropus,Tringa ochropus
tringa ochropus?,Bird
tringa stagnatilis,Tringa stagnatilis
troglodytes troglodytes,Troglodytes troglodytes
turdus merula,Turdus merula
turdus merula/sturnus un/vulg,Bird
turdus merula?,Bird
unk ,Unknown
unk - abiotic noise?,Unknown
unk - bat?,Unknown
unk - cettia cetti?,Bird
unk - cow?,Unknown
unk - motacilla alba?,Bird
unk - motacilla flava?,Bird
unk - passerine calls?,Bird
unk - phylloscopus or is it sturnus un/vulg?,Bird
unk - rapaz? caballo?,Unknown
unk - vuelo de algo?,Unknown
unk - waterbird?,Bird
unk?,Unknown
unknown,Unknown
wader,Bird
waterbird,Bird
waterbird?,Bird
waterbirds?,Bird
wind,Abiotic noise
wind + abiotic noise,Abiotic noise
xx,Unknown
"",Unknown
